Site	Label	R_bodyarea	R_Orangearea	R_Blackarea	R_Fuzzyblackarea	R_Iridescentarea	R_PropOrange	R_PropBlack	R_PropFuzzy	R_PropIrrid	L_Image	L_bodyarea	L_Orangearea	L_Blackarea	L_Fuzzyblackarea	L_Iridescentarea	L_PropOrange	L_PropBlack	L_PropfFuzzy	L_PropIrrid	Av_PropOrange	TopBottom
1	site1_male4	67.43	0	2.22	4.35	31	0	0.032923031	0.064511345	0.459736023	IMG_0395	70.83	0.77	1.34	4.33	38.64	0.0108711	0.018918537	0.061132289	0.545531554	0.00543555	B
1	site1_male16	35.76	1.06	0	0	0.72	0.029642058	0	0	0.020134228	IMG_0435	35.68	0.55	0	0	1.24	0.015414798	0	0	0.034753363	0.022528428	B
1	site1_male56	50.16	0.82	1.07	2.36	7.37	0.016347687	0.021331738	0.047049442	0.146929825	IMG_0668	49.23	1.5	0.86	1.84	11.45	0.030469226	0.017469023	0.037375584	0.232581759	0.023408457	B
1	site1_male5	50.02	2.25	0.64	1.38	3.69	0.044982007	0.012794882	0.027588964	0.073770492	IMG_0397	51.31	1.02	0.04	1.13	23.67	0.019879166	0.000779575	0.022022997	0.461313584	0.032430587	B
1	site1_male22	59.87	2.18	0.37	3.24	21.41	0.036412226	0.006180057	0.054117254	0.357608151	IMG_0468	60.05	1.9	0.89	3.19	29.72	0.0316403	0.014820983	0.053122398	0.494920899	0.034026263	B
1	site1_male6	55.06	2.05	1.96	2.85	14.67	0.03723211	0.03559753	0.051761714	0.266436615	IMG_0399	58.23	1.85	0.44	3.57	20.94	0.031770565	0.007556242	0.061308604	0.359608449	0.034501338	B
1	site1_male29	56.27	2.4	0.89	0	24.35	0.042651502	0.015816599	0	0.432735028	IMG_0501	57.07	1.61	0.72	1.37	26.78	0.028210969	0.012616086	0.024005607	0.469248292	0.035431235	B
1	site1_male43	58.74	2.41	0	0.41	22.7	0.04102826	0	0.006979911	0.386448757	IMG_0584	57.47	2.04	0.16	3.42	28.69	0.035496781	0.002784061	0.059509309	0.499216983	0.038262521	B
1	site1_male33	42.42	1.86	1.72	2.59	11.81	0.043847242	0.040546912	0.061056106	0.278406412	IMG_0522	41.69	1.69	1.4	3.12	19.23	0.040537299	0.033581195	0.074838091	0.461261693	0.04219227	B
1	site1_male42	43.24	2.12	1.3	2.14	13.41	0.049028677	0.030064755	0.049491212	0.31012951	IMG_0578	41.82	1.63	1.5	2.16	18.96	0.038976566	0.035868006	0.051649928	0.453371593	0.044002622	B
